content_id,client_id,baseline_score,baseline_action,baseline_reason_code,avg_position,days_since_last_update,ctr,word_count,impressions_90d
content_a16cc7d0e1da,client_3fdba35f04,75,rewrite metadata,LOW_CTR_ON_PAGE_1,4.0,104,0.0,1551.0,235
content_d12c15f9153f,client_19581e27de,75,expand,STRIKING_THIN_CONTENT,10.1,104,0.15,,7833
content_e0a40f21b886,client_6208ef0f77,75,refresh,STRIKING_STALE_CONTENT,10.9,104,0.0,5452.0,138
content_6c8509f56acd,client_3fdba35f04,75,refresh,STRIKING_STALE_CONTENT,14.5,104,0.0,1651.0,646
content_fce268398d80,client_6208ef0f77,75,refresh,STRIKING_STALE_CONTENT,19.5,104,0.19,5113.0,538
content_13a801b1e212,client_4ec9599fc2,75,expand,STRIKING_THIN_CONTENT,11.7,104,0.39,,1550
content_95cf5ac12c1b,client_8722616204,75,rewrite metadata,LOW_CTR_ON_PAGE_1,6.0,104,0.0,4327.0,5
content_661a51d3130e,client_6208ef0f77,75,rewrite metadata,LOW_CTR_ON_PAGE_1,5.7,104,0.1,5688.0,958
content_0c765bb8ec5d,client_6208ef0f77,75,refresh,STRIKING_STALE_CONTENT,12.0,104,0.28,6001.0,1421
content_f7e47758b18a,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,9.9,104,0.07,,1363
content_8d77c0384b42,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,7.5,104,0.17,,16181
content_76a83cc7b31b,client_8527a891e2,75,rewrite metadata,LOW_CTR_ON_PAGE_1,7.8,104,0.0,2318.0,162
content_e86e73a54c24,client_8722616204,75,refresh,STRIKING_STALE_CONTENT,13.1,104,0.1,7587.0,960
content_f439f4352982,client_19581e27de,75,expand,STRIKING_THIN_CONTENT,15.0,104,0.0,,55
content_214a94adfa00,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,6.9,104,0.0,,1168
content_bb3a9992fb43,client_6208ef0f77,75,refresh,STRIKING_STALE_CONTENT,15.8,104,0.84,6366.0,15251
content_354bcbe06e09,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,3.7,104,0.29,,341
content_10acabc814f0,client_6208ef0f77,75,rewrite metadata,LOW_CTR_ON_PAGE_1,7.0,104,0.41,6391.0,2914
content_4af617a44816,client_4ec9599fc2,75,prune,LOW_IMPRESSIONS_OLD_PAGE,6.0,104,0.0,,6
content_3844f1fcef2c,client_6208ef0f77,75,refresh,STRIKING_STALE_CONTENT,14.5,104,0.39,6443.0,3831
content_bb46eb54bc57,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,6.0,104,0.44,,228
